state_code,state_name,state_fips,county_fips,full_fips,county_name,county_display_name
AL,Alabama,01,001,01001,Autauga County,Autauga
AL,Alabama,01,003,01003,Baldwin County,Baldwin
AL,Alabama,01,005,01005,Barbour County,Barbour
AL,Alabama,01,007,01007,Bibb County,Bibb
AL,Alabama,01,009,01009,Blount County,Blount
AL,Alabama,01,011,01011,Bullock County,Bullock
AL,Alabama,01,013,01013,Butler County,Butler
AL,Alabama,01,015,01015,Calhoun County,Calhoun
AL,Alabama,01,017,01017,Chambers County,Chambers
AL,Alabama,01,019,01019,Cherokee County,Cherokee
AL,Alabama,01,021,01021,Chilton County,Chilton
AL,Alabama,01,023,01023,Choctaw County,Choctaw
AL,Alabama,01,025,01025,Clarke County,Clarke
AL,Alabama,01,027,01027,Clay County,Clay
AL,Alabama,01,029,01029,Cleburne County,Cleburne
AL,Alabama,01,031,01031,Coffee County,Coffee
AL,Alabama,01,033,01033,Colbert County,Colbert
AL,Alabama,01,035,01035,Conecuh County,Conecuh
AL,Alabama,01,037,01037,Coosa County,Coosa
AL,Alabama,01,039,01039,Covington County,Covington
AL,Alabama,01,041,01041,Crenshaw County,Crenshaw
AL,Alabama,01,043,01043,Cullman County,Cullman
AL,Alabama,01,045,01045,Dale County,Dale
AL,Alabama,01,047,01047,Dallas County,Dallas
AL,Alabama,01,049,01049,DeKalb County,DeKalb
AL,Alabama,01,051,01051,Elmore County,Elmore
AL,Alabama,01,053,01053,Escambia County,Escambia
AL,Alabama,01,055,01055,Etowah County,Etowah
AL,Alabama,01,057,01057,Fayette County,Fayette
AL,Alabama,01,059,01059,Franklin County,Franklin
AL,Alabama,01,061,01061,Geneva County,Geneva
AL,Alabama,01,063,01063,Greene County,Greene
AL,Alabama,01,065,01065,Hale County,Hale
AL,Alabama,01,067,01067,Henry County,Henry
AL,Alabama,01,069,01069,Houston County,Houston
AL,Alabama,01,071,01071,Jackson County,Jackson
AL,Alabama,01,073,01073,Jefferson County,Jefferson
AL,Alabama,01,075,01075,Lamar County,Lamar
AL,Alabama,01,077,01077,Lauderdale County,Lauderdale
AL,Alabama,01,079,01079,Lawrence County,Lawrence
AL,Alabama,01,081,01081,Lee County,Lee
AL,Alabama,01,083,01083,Limestone County,Limestone
AL,Alabama,01,085,01085,Lowndes County,Lowndes
AL,Alabama,01,087,01087,Macon County,Macon
AL,Alabama,01,089,01089,Madison County,Madison
AL,Alabama,01,091,01091,Marengo County,Marengo
AL,Alabama,01,093,01093,Marion County,Marion
AL,Alabama,01,095,01095,Marshall County,Marshall
AL,Alabama,01,097,01097,Mobile County,Mobile
AL,Alabama,01,099,01099,Monroe County,Monroe
AL,Alabama,01,101,01101,Montgomery County,Montgomery
AL,Alabama,01,103,01103,Morgan County,Morgan
AL,Alabama,01,105,01105,Perry County,Perry
AL,Alabama,01,107,01107,Pickens County,Pickens
AL,Alabama,01,109,01109,Pike County,Pike
AL,Alabama,01,111,01111,Randolph County,Randolph
AL,Alabama,01,113,01113,Russell County,Russell
AL,Alabama,01,115,01115,St. Clair County,St. Clair
AL,Alabama,01,117,01117,Shelby County,Shelby
AL,Alabama,01,119,01119,Sumter County,Sumter
AL,Alabama,01,121,01121,Talladega County,Talladega
AL,Alabama,01,123,01123,Tallapoosa County,Tallapoosa
AL,Alabama,01,125,01125,Tuscaloosa County,Tuscaloosa
AL,Alabama,01,127,01127,Walker County,Walker
AL,Alabama,01,129,01129,Washington County,Washington
AL,Alabama,01,131,01131,Wilcox County,Wilcox
AL,Alabama,01,133,01133,Winston County,Winston
AK,Alaska,02,013,02013,Aleutians East Borough,Aleutians East
AK,Alaska,02,016,02016,Aleutians West Census Area,Aleutians West
AK,Alaska,02,020,02020,Anchorage Municipality,Anchorage
AK,Alaska,02,050,02050,Bethel Census Area,Bethel
AK,Alaska,02,060,02060,Bristol Bay Borough,Bristol Bay
AK,Alaska,02,063,02063,Chugach Census Area,Chugach
AK,Alaska,02,066,02066,Copper River Census Area,Copper River
AK,Alaska,02,068,02068,Denali Borough,Denali
AK,Alaska,02,070,02070,Dillingham Census Area,Dillingham
AK,Alaska,02,090,02090,Fairbanks North Star Borough,Fairbanks North Star
AK,Alaska,02,100,02100,Haines Borough,Haines
AK,Alaska,02,105,02105,Hoonah-Angoon Census Area,Hoonah-Angoon
AK,Alaska,02,110,02110,Juneau City and Borough,Juneau City and
AK,Alaska,02,122,02122,Kenai Peninsula Borough,Kenai Peninsula
AK,Alaska,02,130,02130,Ketchikan Gateway Borough,Ketchikan Gateway
AK,Alaska,02,150,02150,Kodiak Island Borough,Kodiak Island
AK,Alaska,02,158,02158,Kusilvak Census Area,Kusilvak
AK,Alaska,02,164,02164,Lake and Peninsula Borough,Lake and Peninsula
AK,Alaska,02,170,02170,Matanuska-Susitna Borough,Matanuska-Susitna
AK,Alaska,02,180,02180,Nome Census Area,Nome
AK,Alaska,02,185,02185,North Slope Borough,North Slope
AK,Alaska,02,188,02188,Northwest Arctic Borough,Northwest Arctic
AK,Alaska,02,195,02195,Petersburg Borough,Petersburg
AK,Alaska,02,198,02198,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder
AK,Alaska,02,220,02220,Sitka City and Borough,Sitka City and
AK,Alaska,02,230,02230,Skagway Municipality,Skagway
AK,Alaska,02,240,02240,Southeast Fairbanks Census Area,Southeast Fairbanks
AK,Alaska,02,275,02275,Wrangell City and Borough,Wrangell City and
AK,Alaska,02,282,02282,Yakutat City and Borough,Yakutat City and
AK,Alaska,02,290,02290,Yukon-Koyukuk Census Area,Yukon-Koyukuk
AZ,Arizona,04,001,04001,Apache County,Apache
AZ,Arizona,04,003,04003,Cochise County,Cochise
AZ,Arizona,04,005,04005,Coconino County,Coconino
AZ,Arizona,04,007,04007,Gila County,Gila
AZ,Arizona,04,009,04009,Graham County,Graham
AZ,Arizona,04,011,04011,Greenlee County,Greenlee
AZ,Arizona,04,012,04012,La Paz County,La Paz
AZ,Arizona,04,013,04013,Maricopa County,Maricopa
AZ,Arizona,04,015,04015,Mohave County,Mohave
AZ,Arizona,04,017,04017,Navajo County,Navajo
AZ,Arizona,04,019,04019,Pima County,Pima
AZ,Arizona,04,021,04021,Pinal County,Pinal
AZ,Arizona,04,023,04023,Santa Cruz County,Santa Cruz
AZ,Arizona,04,025,04025,Yavapai County,Yavapai
AZ,Arizona,04,027,04027,Yuma County,Yuma
AR,Arkansas,05,001,05001,Arkansas County,Arkansas
AR,Arkansas,05,003,05003,Ashley County,Ashley
AR,Arkansas,05,005,05005,Baxter County,Baxter
AR,Arkansas,05,007,05007,Benton County,Benton
AR,Arkansas,05,009,05009,Boone County,Boone
AR,Arkansas,05,011,05011,Bradley County,Bradley
AR,Arkansas,05,013,05013,Calhoun County,Calhoun
AR,Arkansas,05,015,05015,Carroll County,Carroll
AR,Arkansas,05,017,05017,Chicot County,Chicot
AR,Arkansas,05,019,05019,Clark County,Clark
AR,Arkansas,05,021,05021,Clay County,Clay
AR,Arkansas,05,023,05023,Cleburne County,Cleburne
AR,Arkansas,05,025,05025,Cleveland County,Cleveland
AR,Arkansas,05,027,05027,Columbia County,Columbia
AR,Arkansas,05,029,05029,Conway County,Conway
AR,Arkansas,05,031,05031,Craighead County,Craighead
AR,Arkansas,05,033,05033,Crawford County,Crawford
AR,Arkansas,05,035,05035,Crittenden County,Crittenden
AR,Arkansas,05,037,05037,Cross County,Cross
AR,Arkansas,05,039,05039,Dallas County,Dallas
AR,Arkansas,05,041,05041,Desha County,Desha
AR,Arkansas,05,043,05043,Drew County,Drew
AR,Arkansas,05,045,05045,Faulkner County,Faulkner
AR,Arkansas,05,047,05047,Franklin County,Franklin
AR,Arkansas,05,049,05049,Fulton County,Fulton
AR,Arkansas,05,051,05051,Garland County,Garland
AR,Arkansas,05,053,05053,Grant County,Grant
AR,Arkansas,05,055,05055,Greene County,Greene
AR,Arkansas,05,057,05057,Hempstead County,Hempstead
AR,Arkansas,05,059,05059,Hot Spring County,Hot Spring
AR,Arkansas,05,061,05061,Howard County,Howard
AR,Arkansas,05,063,05063,Independence County,Independence
AR,Arkansas,05,065,05065,Izard County,Izard
AR,Arkansas,05,067,05067,Jackson County,Jackson
AR,Arkansas,05,069,05069,Jefferson County,Jefferson
AR,Arkansas,05,071,05071,Johnson County,Johnson
AR,Arkansas,05,073,05073,Lafayette County,Lafayette
AR,Arkansas,05,075,05075,Lawrence County,Lawrence
AR,Arkansas,05,077,05077,Lee County,Lee
AR,Arkansas,05,079,05079,Lincoln County,Lincoln
AR,Arkansas,05,081,05081,Little River County,Little River
AR,Arkansas,05,083,05083,Logan County,Logan
AR,Arkansas,05,085,05085,Lonoke County,Lonoke
AR,Arkansas,05,087,05087,Madison County,Madison
AR,Arkansas,05,089,05089,Marion County,Marion
AR,Arkansas,05,091,05091,Miller County,Miller
AR,Arkansas,05,093,05093,Mississippi County,Mississippi
